Interest,Skills,Favorite_Subject,Experience_Level,Career_Goal,Recommended_Domain
Cloud,React,Cyber Security,Intermediate,Backend Developer,Cloud Computing
Data Analysis,HTML CSS JavaScript,Data Science,Advanced,Backend Developer,Data Analytics
Android,Kotlin,AI,Intermediate,Frontend Developer,Android Development
Cloud,React,Statistics,Advanced,Android Developer,Cloud Computing
Cloud,Docker,Java Programming,Beginner,Cloud Engineer,Cloud Computing
UI Design,Python,Statistics,Intermediate,DevOps Engineer,Web Development
UI Design,Java,AI,Advanced,Cloud Engineer,Web Development
Web Apps,Java,Cyber Security,Advanced,Data Analyst,Web Development
UI Design,Kotlin,Software Engineering,Intermediate,Backend Developer,Web Development
Android,Linux,Networking,Advanced,Android Developer,Android Development
Data Analysis,React,Java Programming,Intermediate,Data Analyst,Data Analytics
Security,AWS,Cyber Security,Advanced,Security Analyst,Cybersecurity
UI Design,Linux,Data Science,Advanced,DevOps Engineer,Web Development
Java,AWS,Networking,Advanced,Security Analyst,Java Development
AI,Python,Networking,Advanced,Frontend Developer,Machine Learning
Web Apps,AWS,Software Engineering,Advanced,Cloud Engineer,Web Development
Android,Python,AI,Beginner,ML Engineer,Android Development
Data Analysis,TensorFlow,Networking,Intermediate,Android Developer,Data Analytics
Data Analysis,TensorFlow,Java Programming,Advanced,Cloud Engineer,Data Analytics
Networking,Linux,Cyber Security,Beginner,ML Engineer,Cybersecurity
AI,Java,Statistics,Intermediate,Android Developer,Machine Learning
UI Design,Docker,Data Science,Intermediate,Frontend Developer,Web Development
Security,SQL,Data Science,Advanced,ML Engineer,Cybersecurity
Java,Java,Data Science,Advanced,Cloud Engineer,Java Development
Security,TensorFlow,Mobile Computing,Beginner,Frontend Developer,Cybersecurity
Networking,SQL,AI,Beginner,Android Developer,Cybersecurity
Java,Docker,Mobile Computing,Advanced,Backend Developer,Java Development
Java,Kotlin,Mobile Computing,Intermediate,Android Developer,Java Development
Networking,Linux,Data Science,Advanced,Data Analyst,Cybersecurity
Automation,TensorFlow,Cyber Security,Beginner,DevOps Engineer,Machine Learning
Automation,Java,Software Engineering,Intermediate,Backend Developer,Machine Learning
Java,TensorFlow,Web Technology,Beginner,Backend Developer,Java Development
Automation,React,Data Science,Intermediate,Cloud Engineer,Machine Learning
Automation,React,Statistics,Intermediate,Security Analyst,Machine Learning
Cloud,AWS,AI,Advanced,ML Engineer,Cloud Computing
Data Analysis,Java,Statistics,Advanced,Data Analyst,Data Analytics
Automation,AWS,Java Programming,Beginner,Cloud Engineer,Machine Learning
Networking,Python,Java Programming,Beginner,Android Developer,Cybersecurity
Networking,TensorFlow,Networking,Advanced,Backend Developer,Cybersecurity
Java,AWS,Networking,Advanced,Frontend Developer,Java Development
Networking,TensorFlow,Software Engineering,Intermediate,Security Analyst,Cybersecurity
Android,Kotlin,Web Technology,Beginner,Cloud Engineer,Android Development
Networking,React,Cyber Security,Advanced,Backend Developer,Cybersecurity
Web Apps,Linux,Web Technology,Intermediate,Cloud Engineer,Web Development
Java,Python,Cyber Security,Advanced,Cloud Engineer,Java Development
Android,React,Cloud Computing,Advanced,Android Developer,Android Development
Cloud,Java,Mobile Computing,Advanced,Backend Developer,Cloud Computing
Networking,Docker,Mobile Computing,Advanced,Frontend Developer,Cybersecurity
Web Apps,AWS,Statistics,Advanced,DevOps Engineer,Web Development
UI Design,Java,Web Technology,Intermediate,Security Analyst,Web Development
Security,HTML CSS JavaScript,Web Technology,Advanced,Android Developer,Cybersecurity
Networking,React,Data Science,Beginner,DevOps Engineer,Cybersecurity
Java,Linux,Statistics,Beginner,Data Analyst,Java Development
UI Design,SQL,Web Technology,Advanced,Data Analyst,Web Development
AI,Kotlin,Networking,Advanced,Cloud Engineer,Machine Learning
Automation,HTML CSS JavaScript,AI,Intermediate,Data Analyst,Machine Learning
Web Apps,Python,Mobile Computing,Beginner,Data Analyst,Web Development
Java,Java,AI,Intermediate,ML Engineer,Java Development
Security,Docker,Statistics,Advanced,Cloud Engineer,Cybersecurity
AI,Linux,Networking,Beginner,Backend Developer,Machine Learning
Web Apps,React,Web Technology,Intermediate,Frontend Developer,Web Development
Java,Linux,Networking,Beginner,DevOps Engineer,Java Development
Android,Kotlin,Web Technology,Intermediate,Android Developer,Android Development
Cloud,Docker,Java Programming,Intermediate,Frontend Developer,Cloud Computing
Java,Kotlin,Cyber Security,Beginner,Frontend Developer,Java Development
Cloud,Docker,Data Science,Beginner,Security Analyst,Cloud Computing
Cloud,Linux,Java Programming,Beginner,Cloud Engineer,Cloud Computing
Web Apps,TensorFlow,Cloud Computing,Beginner,Security Analyst,Web Development
Automation,Kotlin,Data Science,Beginner,Android Developer,Machine Learning
AI,TensorFlow,Software Engineering,Beginner,Security Analyst,Machine Learning
Networking,AWS,Cloud Computing,Intermediate,Frontend Developer,Cybersecurity
Cloud,Python,Web Technology,Beginner,Cloud Engineer,Cloud Computing
Cloud,AWS,Web Technology,Advanced,ML Engineer,Cloud Computing
Web Apps,React,AI,Intermediate,Cloud Engineer,Web Development
AI,AWS,Cloud Computing,Advanced,Android Developer,Machine Learning
Data Analysis,Python,Software Engineering,Advanced,ML Engineer,Data Analytics
Web Apps,Kotlin,Cloud Computing,Beginner,Data Analyst,Web Development
Networking,SQL,Data Science,Advanced,ML Engineer,Cybersecurity
Networking,AWS,Cloud Computing,Intermediate,DevOps Engineer,Cybersecurity
Android,Linux,Java Programming,Advanced,Security Analyst,Android Development
Android,React,Data Science,Beginner,Android Developer,Android Development
UI Design,Java,Software Engineering,Beginner,Cloud Engineer,Web Development
Java,Kotlin,Mobile Computing,Advanced,Backend Developer,Java Development
Security,Docker,Statistics,Intermediate,Cloud Engineer,Cybersecurity
Security,SQL,Data Science,Beginner,Android Developer,Cybersecurity
Security,React,Data Science,Beginner,Cloud Engineer,Cybersecurity
Android,HTML CSS JavaScript,Software Engineering,Intermediate,Android Developer,Android Development
Cloud,Linux,Statistics,Intermediate,Frontend Developer,Cloud Computing
Security,React,Statistics,Beginner,ML Engineer,Cybersecurity
Security,Kotlin,Cyber Security,Beginner,Android Developer,Cybersecurity
UI Design,Docker,Mobile Computing,Advanced,DevOps Engineer,Web Development
Java,Kotlin,Cyber Security,Advanced,Frontend Developer,Java Development
Java,Kotlin,Software Engineering,Advanced,Frontend Developer,Java Development
Cloud,AWS,Statistics,Beginner,Data Analyst,Cloud Computing
Data Analysis,Kotlin,Statistics,Intermediate,Backend Developer,Data Analytics
